"","Site","Species","SizeClass","MeanDensity","SE"
"1","S11","P. acuta","0-2cm",0.173333333333333,0.0480740170061865
"2","S11","P. acuta",">2cm-5cm",0,0
"3","S11","P. acuta",">5cm-14cm",0,0
"4","S11","P. acuta",">14cm",0,0
"5","S11","P. effusa","0-2cm",0.0266666666666667,0.0266666666666667
"6","S11","P. effusa",">2cm-5cm",0.04,0.023094010767585
"7","S11","P. effusa",">5cm-14cm",0,0
"8","S11","P. effusa",">14cm",0,0
"9","S11","P. grandis","0-2cm",0.0133333333333333,0.0133333333333333
"10","S11","P. grandis",">2cm-5cm",0,0
"11","S11","P. grandis",">5cm-14cm",0.0933333333333333,0.0581186525805423
"12","S11","P. grandis",">14cm",0.0933333333333333,0.0352766841475279
"13","S11","P. meandrina","0-2cm",0.56,0.174355957741627
"14","S11","P. meandrina",">2cm-5cm",0.12,0.0611010092660779
"15","S11","P. meandrina",">5cm-14cm",0.506666666666667,0.208273324690844
"16","S11","P. meandrina",">14cm",0.213333333333333,0.0811035004039763
"17","S11","P. tuahiniensis","0-2cm",0.04,0
"18","S11","P. tuahiniensis",">2cm-5cm",0.0266666666666667,0.0266666666666667
"19","S11","P. tuahiniensis",">5cm-14cm",0.0133333333333333,0.0133333333333333
"20","S11","P. tuahiniensis",">14cm",0.0933333333333333,0.0352766841475279
"21","S11","P. verrucosa","0-2cm",0.0533333333333333,0.0133333333333333
"22","S11","P. verrucosa",">2cm-5cm",0.04,0.023094010767585
"23","S11","P. verrucosa",">5cm-14cm",0.04,0.04
"24","S11","P. verrucosa",">14cm",0.0933333333333333,0.0581186525805423
"25","S12","P. acuta","0-2cm",0.16,0.023094010767585
"26","S12","P. acuta",">2cm-5cm",0.04,0
"27","S12","P. acuta",">5cm-14cm",0,0
"28","S12","P. acuta",">14cm",0.0133333333333333,0.0133333333333333
"29","S12","P. effusa","0-2cm",0.04,0.023094010767585
"30","S12","P. effusa",">2cm-5cm",0.0533333333333333,0.0133333333333333
"31","S12","P. effusa",">5cm-14cm",0.0133333333333333,0.0133333333333333
"32","S12","P. effusa",">14cm",0.0133333333333333,0.0133333333333333
"33","S12","P. grandis","0-2cm",0.106666666666667,0.0581186525805423
"34","S12","P. grandis",">2cm-5cm",0.146666666666667,0.0533333333333333
"35","S12","P. grandis",">5cm-14cm",0.0666666666666667,0.0133333333333333
"36","S12","P. grandis",">14cm",0.186666666666667,0.0352766841475279
"37","S12","P. meandrina","0-2cm",0.72,0.0611010092660779
"38","S12","P. meandrina",">2cm-5cm",0.226666666666667,0.0533333333333334
"39","S12","P. meandrina",">5cm-14cm",0.36,0.0461880215351701
"40","S12","P. meandrina",">14cm",0.626666666666667,0.176383420737639
"41","S12","P. tuahiniensis","0-2cm",0.0133333333333333,0.0133333333333333
"42","S12","P. tuahiniensis",">2cm-5cm",0.0266666666666667,0.0266666666666667
"43","S12","P. tuahiniensis",">5cm-14cm",0.0266666666666667,0.0133333333333333
"44","S12","P. tuahiniensis",">14cm",0.16,0.023094010767585
"45","S12","P. verrucosa","0-2cm",0.0133333333333333,0.0133333333333333
"46","S12","P. verrucosa",">2cm-5cm",0.0133333333333333,0.0133333333333333
"47","S12","P. verrucosa",">5cm-14cm",0.0533333333333333,0.0133333333333333
"48","S12","P. verrucosa",">14cm",0.146666666666667,0.0933333333333333
"49","S14","P. acuta","0-2cm",0.08,0.023094010767585
"50","S14","P. acuta",">2cm-5cm",0.0666666666666667,0.0480740170061865
"51","S14","P. acuta",">5cm-14cm",0.0266666666666667,0.0266666666666667
"52","S14","P. acuta",">14cm",0,0
"53","S14","P. effusa","0-2cm",0.04,0.023094010767585
"54","S14","P. effusa",">2cm-5cm",0.133333333333333,0.0352766841475279
"55","S14","P. effusa",">5cm-14cm",0.04,0.023094010767585
"56","S14","P. effusa",">14cm",0.0266666666666667,0.0133333333333333
"57","S14","P. grandis","0-2cm",0.0533333333333333,0.0133333333333333
"58","S14","P. grandis",">2cm-5cm",0.0133333333333333,0.0133333333333333
"59","S14","P. grandis",">5cm-14cm",0.0266666666666667,0.0133333333333333
"60","S14","P. grandis",">14cm",0.28,0
"61","S14","P. meandrina","0-2cm",0.586666666666667,0.148473716342134
"62","S14","P. meandrina",">2cm-5cm",0.346666666666667,0.0266666666666667
"63","S14","P. meandrina",">5cm-14cm",0.586666666666667,0.0480740170061865
"64","S14","P. meandrina",">14cm",1,0.23094010767585
"65","S14","P. tuahiniensis","0-2cm",0.0266666666666667,0.0133333333333333
"66","S14","P. tuahiniensis",">2cm-5cm",0.0266666666666667,0.0266666666666667
"67","S14","P. tuahiniensis",">5cm-14cm",0.0266666666666667,0.0133333333333333
"68","S14","P. tuahiniensis",">14cm",0.173333333333333,0.0266666666666667
"69","S14","P. verrucosa","0-2cm",0,0
"70","S14","P. verrucosa",">2cm-5cm",0.0533333333333333,0.0352766841475279
"71","S14","P. verrucosa",">5cm-14cm",0.106666666666667,0.0705533682950557
"72","S14","P. verrucosa",">14cm",0.24,0.0611010092660779
"73","S15","P. acuta","0-2cm",0.12,0.04
"74","S15","P. acuta",">2cm-5cm",0.0133333333333333,0.0133333333333333
"75","S15","P. acuta",">5cm-14cm",0,0
"76","S15","P. acuta",">14cm",0,0
"77","S15","P. effusa","0-2cm",0.04,0.023094010767585
"78","S15","P. effusa",">2cm-5cm",0.04,0
"79","S15","P. effusa",">5cm-14cm",0.0133333333333333,0.0133333333333333
"80","S15","P. effusa",">14cm",0,0
"81","S15","P. grandis","0-2cm",0.106666666666667,0.0533333333333333
"82","S15","P. grandis",">2cm-5cm",0.0266666666666667,0.0133333333333333
"83","S15","P. grandis",">5cm-14cm",0.04,0.023094010767585
"84","S15","P. grandis",">14cm",0.08,0.023094010767585
"85","S15","P. meandrina","0-2cm",0.786666666666667,0.237018517795082
"86","S15","P. meandrina",">2cm-5cm",0.24,0.08
"87","S15","P. meandrina",">5cm-14cm",0.52,0.122202018532156
"88","S15","P. meandrina",">14cm",0.613333333333333,0.0933333333333333
"89","S15","P. tuahiniensis","0-2cm",0.106666666666667,0.0266666666666667
"90","S15","P. tuahiniensis",">2cm-5cm",0.0533333333333333,0.0133333333333333
"91","S15","P. tuahiniensis",">5cm-14cm",0.0933333333333333,0.0480740170061865
"92","S15","P. tuahiniensis",">14cm",0.293333333333333,0.0705533682950558
"93","S15","P. verrucosa","0-2cm",0.0266666666666667,0.0133333333333333
"94","S15","P. verrucosa",">2cm-5cm",0,0
"95","S15","P. verrucosa",">5cm-14cm",0.106666666666667,0.0533333333333333
"96","S15","P. verrucosa",">14cm",0.24,0.0611010092660779
"97","S18","P. acuta","0-2cm",0.0533333333333333,0.0133333333333333
"98","S18","P. acuta",">2cm-5cm",0.0933333333333333,0.0266666666666667
"99","S18","P. acuta",">5cm-14cm",0,0
"100","S18","P. acuta",">14cm",0.0133333333333333,0.0133333333333333
"101","S18","P. effusa","0-2cm",0.0266666666666667,0.0133333333333333
"102","S18","P. effusa",">2cm-5cm",0.08,0.04
"103","S18","P. effusa",">5cm-14cm",0,0
"104","S18","P. effusa",">14cm",0,0
"105","S18","P. grandis","0-2cm",0,0
"106","S18","P. grandis",">2cm-5cm",0.0133333333333333,0.0133333333333333
"107","S18","P. grandis",">5cm-14cm",0.04,0
"108","S18","P. grandis",">14cm",0.0933333333333333,0.0352766841475279
"109","S18","P. meandrina","0-2cm",0.2,0.04
"110","S18","P. meandrina",">2cm-5cm",0.146666666666667,0.0666666666666667
"111","S18","P. meandrina",">5cm-14cm",0.373333333333333,0.0705533682950557
"112","S18","P. meandrina",">14cm",0.2,0.0692820323027551
"113","S18","P. tuahiniensis","0-2cm",0.0133333333333333,0.0133333333333333
"114","S18","P. tuahiniensis",">2cm-5cm",0.04,0.023094010767585
"115","S18","P. tuahiniensis",">5cm-14cm",0.0133333333333333,0.0133333333333333
"116","S18","P. tuahiniensis",">14cm",0.0933333333333333,0.0352766841475279
"117","S18","P. verrucosa","0-2cm",0,0
"118","S18","P. verrucosa",">2cm-5cm",0.0133333333333333,0.0133333333333333
"119","S18","P. verrucosa",">5cm-14cm",0.0533333333333333,0.0266666666666667
"120","S18","P. verrucosa",">14cm",0.04,0.023094010767585
"121","S2","P. acuta","0-2cm",0.0133333333333333,0.0133333333333333
"122","S2","P. acuta",">2cm-5cm",0.0266666666666667,0.0133333333333333
"123","S2","P. acuta",">5cm-14cm",0,0
"124","S2","P. acuta",">14cm",0,0
"125","S2","P. effusa","0-2cm",0.266666666666667,0.08743251365736
"126","S2","P. effusa",">2cm-5cm",0.48,0.12
"127","S2","P. effusa",">5cm-14cm",0.106666666666667,0.08743251365736
"128","S2","P. effusa",">14cm",0.04,0.04
"129","S2","P. grandis","0-2cm",0.226666666666667,0.08743251365736
"130","S2","P. grandis",">2cm-5cm",0.08,0.0461880215351701
"131","S2","P. grandis",">5cm-14cm",0.0266666666666667,0.0133333333333333
"132","S2","P. grandis",">14cm",0.0266666666666667,0.0266666666666667
"133","S2","P. meandrina","0-2cm",1.22666666666667,0.17486502731472
"134","S2","P. meandrina",">2cm-5cm",0.52,0.0611010092660779
"135","S2","P. meandrina",">5cm-14cm",0.0933333333333333,0.0352766841475279
"136","S2","P. meandrina",">14cm",0.0933333333333333,0.0480740170061865
"137","S2","P. tuahiniensis","0-2cm",0.133333333333333,0.0352766841475279
"138","S2","P. tuahiniensis",">2cm-5cm",0.08,0.023094010767585
"139","S2","P. tuahiniensis",">5cm-14cm",0.04,0.023094010767585
"140","S2","P. tuahiniensis",">14cm",0.0266666666666667,0.0266666666666667
"141","S2","P. verrucosa","0-2cm",0,0
"142","S2","P. verrucosa",">2cm-5cm",0.0133333333333333,0.0133333333333333
"143","S2","P. verrucosa",">5cm-14cm",0,0
"144","S2","P. verrucosa",">14cm",0.0133333333333333,0.0133333333333333
"145","S3","P. acuta","0-2cm",0.0266666666666667,0.0133333333333333
"146","S3","P. acuta",">2cm-5cm",0.0266666666666667,0.0133333333333333
"147","S3","P. acuta",">5cm-14cm",0,0
"148","S3","P. acuta",">14cm",0,0
"149","S3","P. effusa","0-2cm",0.0133333333333333,0.0133333333333333
"150","S3","P. effusa",">2cm-5cm",0.173333333333333,0.0133333333333333
"151","S3","P. effusa",">5cm-14cm",0.0266666666666667,0.0266666666666667
"152","S3","P. effusa",">14cm",0,0
"153","S3","P. grandis","0-2cm",0.0266666666666667,0.0133333333333333
"154","S3","P. grandis",">2cm-5cm",0.0533333333333333,0.0533333333333333
"155","S3","P. grandis",">5cm-14cm",0.04,0.04
"156","S3","P. grandis",">14cm",0.0266666666666667,0.0133333333333333
"157","S3","P. meandrina","0-2cm",0.12,0.0692820323027551
"158","S3","P. meandrina",">2cm-5cm",0.213333333333333,0.0533333333333333
"159","S3","P. meandrina",">5cm-14cm",0.0933333333333333,0.0480740170061865
"160","S3","P. meandrina",">14cm",0.0133333333333333,0.0133333333333333
"161","S3","P. tuahiniensis","0-2cm",0,0
"162","S3","P. tuahiniensis",">2cm-5cm",0.0266666666666667,0.0266666666666667
"163","S3","P. tuahiniensis",">5cm-14cm",0.0133333333333333,0.0133333333333333
"164","S3","P. tuahiniensis",">14cm",0.0266666666666667,0.0133333333333333
"165","S3","P. verrucosa","0-2cm",0.0133333333333333,0.0133333333333333
"166","S3","P. verrucosa",">2cm-5cm",0,0
"167","S3","P. verrucosa",">5cm-14cm",0.0133333333333333,0.0133333333333333
"168","S3","P. verrucosa",">14cm",0.0533333333333333,0.0133333333333333
"169","S4","P. acuta","0-2cm",0.0133333333333333,0.0133333333333333
"170","S4","P. acuta",">2cm-5cm",0,0
"171","S4","P. acuta",">5cm-14cm",0,0
"172","S4","P. acuta",">14cm",0,0
"173","S4","P. effusa","0-2cm",0.08,0.0611010092660779
"174","S4","P. effusa",">2cm-5cm",0,0
"175","S4","P. effusa",">5cm-14cm",0,0
"176","S4","P. effusa",">14cm",0,0
"177","S4","P. grandis","0-2cm",0.0133333333333333,0.0133333333333333
"178","S4","P. grandis",">2cm-5cm",0,0
"179","S4","P. grandis",">5cm-14cm",0.0266666666666667,0.0133333333333333
"180","S4","P. grandis",">14cm",0.0133333333333333,0.0133333333333333
"181","S4","P. meandrina","0-2cm",0.0666666666666667,0.0352766841475279
"182","S4","P. meandrina",">2cm-5cm",0.133333333333333,0.0581186525805423
"183","S4","P. meandrina",">5cm-14cm",0.24,0.0923760430703401
"184","S4","P. meandrina",">14cm",0.0666666666666667,0.0480740170061865
"185","S4","P. tuahiniensis","0-2cm",0.0133333333333333,0.0133333333333333
"186","S4","P. tuahiniensis",">2cm-5cm",0.0133333333333333,0.0133333333333333
"187","S4","P. tuahiniensis",">5cm-14cm",0.04,0.023094010767585
"188","S4","P. tuahiniensis",">14cm",0.0666666666666667,0.0133333333333333
"189","S4","P. verrucosa","0-2cm",0,0
"190","S4","P. verrucosa",">2cm-5cm",0.0133333333333333,0.0133333333333333
"191","S4","P. verrucosa",">5cm-14cm",0.0666666666666667,0.0352766841475279
"192","S4","P. verrucosa",">14cm",0.0533333333333333,0.0266666666666667
"193","S5","P. acuta","0-2cm",0.106666666666667,0.0352766841475279
"194","S5","P. acuta",">2cm-5cm",0.04,0.023094010767585
"195","S5","P. acuta",">5cm-14cm",0,0
"196","S5","P. acuta",">14cm",0,0
"197","S5","P. effusa","0-2cm",0.426666666666667,0.0961480340123731
"198","S5","P. effusa",">2cm-5cm",0.546666666666667,0.139204086785474
"199","S5","P. effusa",">5cm-14cm",0.0933333333333333,0.074236858171067
"200","S5","P. effusa",">14cm",0,0
"201","S5","P. grandis","0-2cm",0.24,0.0832666399786453
"202","S5","P. grandis",">2cm-5cm",0.173333333333333,0.0705533682950558
"203","S5","P. grandis",">5cm-14cm",0.0266666666666667,0.0266666666666667
"204","S5","P. grandis",">14cm",0.08,0.023094010767585
"205","S5","P. meandrina","0-2cm",0.613333333333333,0.0581186525805423
"206","S5","P. meandrina",">2cm-5cm",0.666666666666667,0.139204086785474
"207","S5","P. meandrina",">5cm-14cm",0.546666666666667,0.116237305161085
"208","S5","P. meandrina",">14cm",0.2,0.100664459136943
"209","S5","P. tuahiniensis","0-2cm",0.16,0.0692820323027551
"210","S5","P. tuahiniensis",">2cm-5cm",0.106666666666667,0.0133333333333333
"211","S5","P. tuahiniensis",">5cm-14cm",0.133333333333333,0.0266666666666667
"212","S5","P. tuahiniensis",">14cm",0.133333333333333,0.0133333333333333
"213","S5","P. verrucosa","0-2cm",0.04,0.023094010767585
"214","S5","P. verrucosa",">2cm-5cm",0.0533333333333333,0.0352766841475279
"215","S5","P. verrucosa",">5cm-14cm",0.08,0
"216","S5","P. verrucosa",">14cm",0.146666666666667,0.0666666666666667
"217","S6","P. acuta","0-2cm",0.0133333333333333,0.0133333333333333
"218","S6","P. acuta",">2cm-5cm",0,0
"219","S6","P. acuta",">5cm-14cm",0,0
"220","S6","P. acuta",">14cm",0,0
"221","S6","P. effusa","0-2cm",0.0533333333333333,0.0352766841475279
"222","S6","P. effusa",">2cm-5cm",0.0133333333333333,0.0133333333333333
"223","S6","P. effusa",">5cm-14cm",0.0133333333333333,0.0133333333333333
"224","S6","P. effusa",">14cm",0.0133333333333333,0.0133333333333333
"225","S6","P. grandis","0-2cm",0.2,0.0923760430703401
"226","S6","P. grandis",">2cm-5cm",0.0666666666666667,0.0133333333333333
"227","S6","P. grandis",">5cm-14cm",0.0133333333333333,0.0133333333333333
"228","S6","P. grandis",">14cm",0,0
"229","S6","P. meandrina","0-2cm",0.8,0.260256283945908
"230","S6","P. meandrina",">2cm-5cm",0.2,0.0611010092660779
"231","S6","P. meandrina",">5cm-14cm",0.0666666666666667,0.0666666666666667
"232","S6","P. meandrina",">14cm",0.08,0.04
"233","S6","P. tuahiniensis","0-2cm",0.08,0.023094010767585
"234","S6","P. tuahiniensis",">2cm-5cm",0.0266666666666667,0.0133333333333333
"235","S6","P. tuahiniensis",">5cm-14cm",0.0133333333333333,0.0133333333333333
"236","S6","P. tuahiniensis",">14cm",0.0266666666666667,0.0133333333333333
"237","S6","P. verrucosa","0-2cm",0.04,0.023094010767585
"238","S6","P. verrucosa",">2cm-5cm",0.0266666666666667,0.0133333333333333
"239","S6","P. verrucosa",">5cm-14cm",0,0
"240","S6","P. verrucosa",">14cm",0.0666666666666667,0.0666666666666667
"241","S9","P. acuta","0-2cm",0.0666666666666667,0.0133333333333333
"242","S9","P. acuta",">2cm-5cm",0.0133333333333333,0.0133333333333333
"243","S9","P. acuta",">5cm-14cm",0,0
"244","S9","P. acuta",">14cm",0,0
"245","S9","P. effusa","0-2cm",0.0666666666666667,0.0352766841475279
"246","S9","P. effusa",">2cm-5cm",0.226666666666667,0.0480740170061865
"247","S9","P. effusa",">5cm-14cm",0.0266666666666667,0.0133333333333333
"248","S9","P. effusa",">14cm",0,0
"249","S9","P. grandis","0-2cm",0.146666666666667,0.0266666666666667
"250","S9","P. grandis",">2cm-5cm",0.106666666666667,0.0266666666666667
"251","S9","P. grandis",">5cm-14cm",0.0266666666666667,0.0133333333333333
"252","S9","P. grandis",">14cm",0,0
"253","S9","P. meandrina","0-2cm",1.32,0.13856406460551
"254","S9","P. meandrina",">2cm-5cm",0.453333333333333,0.0480740170061865
"255","S9","P. meandrina",">5cm-14cm",0.0933333333333333,0.0533333333333333
"256","S9","P. meandrina",">14cm",0.0133333333333333,0.0133333333333333
"257","S9","P. tuahiniensis","0-2cm",0.106666666666667,0.0480740170061865
"258","S9","P. tuahiniensis",">2cm-5cm",0.0666666666666667,0.0480740170061865
"259","S9","P. tuahiniensis",">5cm-14cm",0.0666666666666667,0.0352766841475279
"260","S9","P. tuahiniensis",">14cm",0.0266666666666667,0.0133333333333333
"261","S9","P. verrucosa","0-2cm",0.04,0.023094010767585
"262","S9","P. verrucosa",">2cm-5cm",0,0
"263","S9","P. verrucosa",">5cm-14cm",0.0266666666666667,0.0266666666666667
"264","S9","P. verrucosa",">14cm",0,0
